Date,Description,Amount,Type,Predicted_Label
2025-06-18,Transfer to Recurring Deposit,14807,DEBIT,SAVINGS
2025-06-02,FD Creation at HDFC Bank,11833,DEBIT,SAVINGS
2025-06-05,Closure Proceeds from PPF,38526,DEBIT,SAVINGS
2025-06-14,Gift received from Family,25992,CREDIT,INCOME
2025-06-06,Electricity Bill Payment,17723,DEBIT,EXPENSE
2025-06-01,ATM Cash Withdrawal,18778,DEBIT,EXPENSE
2025-06-27,NPS Contribution,11019,DEBIT,SAVINGS
2025-06-24,Award for best employee,89510,CREDIT,INCOME
2025-06-03,LIC Premium Payment,25585,DEBIT,SAVINGS
2025-06-23,Auto Sweep to FD,49886,DEBIT,SAVINGS
2025-06-03,ATM Cash Withdrawal,7870,DEBIT,EXPENSE
2025-06-10,Fixed Deposit opened at ICICI Bank,32488,DEBIT,SAVINGS
2025-06-10,Transfer to Recurring Deposit,43154,DEBIT,SAVINGS
2025-06-19,Transfer to PPF Account,14048,DEBIT,SAVINGS
2025-06-09,Interest from Savings Account,79985,CREDIT,INCOME
2025-06-22,Refund from Amazon,28675,CREDIT,INCOME
2025-06-06,Subscription Renewal - Netflix,7345,DEBIT,EXPENSE
2025-06-17,Transfer to Child Plan,41981,DEBIT,SAVINGS
2025-06-01,Goal Based Savings Transfer,9214,DEBIT,SAVINGS
2025-06-13,Mutual Fund Investment - Axis Bluechip,23892,DEBIT,SAVINGS
2025-06-22,Transfer to Education Fund,26506,DEBIT,SAVINGS
2025-06-04,Goal Based Savings Transfer,24324,DEBIT,SAVINGS
2025-06-09,POS/AMAZON IN/Online Shopping,18788,DEBIT,EXPENSE
2025-06-01,Transfer to Recurring Deposit,36757,DEBIT,SAVINGS
2025-06-02,Transfer to Education Fund,8683,DEBIT,SAVINGS
2025-06-18,Recurring Deposit started at PNB,30038,DEBIT,SAVINGS
2025-06-13,ATM Cash Withdrawal,13931,DEBIT,EXPENSE
2025-06-06,NPS Contribution,37327,DEBIT,SAVINGS
2025-06-01,ATM Cash Withdrawal,1860,DEBIT,EXPENSE
2025-06-04,SIP to HDFC Top 100,42301,DEBIT,SAVINGS
2025-06-17,Electricity Bill Payment,12074,DEBIT,EXPENSE
2025-06-26,Medical Consultation at Cafe Coffee Day,14518,DEBIT,EXPENSE
2025-06-21,Salary credited from TCS,88443,CREDIT,INCOME
2025-06-18,Fuel Purchase at Amazon,13311,DEBIT,EXPENSE
2025-06-17,Goal Based Savings Transfer,14951,DEBIT,SAVINGS
2025-06-20,SIP to SBI Magnum,40194,DEBIT,SAVINGS
2025-06-05,Maturity Proceeds from NPS,38477,DEBIT,SAVINGS
2025-06-10,UPI payment to Cafe Coffee Day,1551,DEBIT,EXPENSE
2025-06-14,Credit Card Bill Payment,9698,DEBIT,EXPENSE
2025-06-20,Refund from Amazon,68142,CREDIT,INCOME
2025-06-24,POS/AMAZON IN/Online Shopping,19254,DEBIT,EXPENSE
2025-06-22,Dividend from Mutual Fund,15645,CREDIT,INCOME
2025-06-07,Refund from Amazon,38954,CREDIT,INCOME
2025-06-09,Salary credited from ABC Corp,65488,CREDIT,INCOME
2025-06-23,SIP to HDFC Top 100,4599,DEBIT,SAVINGS
2025-06-22,Mutual Fund Investment - UTI Flexi Cap,47189,DEBIT,SAVINGS
2025-06-02,ATM Cash Withdrawal,10000,DEBIT,EXPENSE
2025-06-21,Fuel Purchase at Indian Oil,17374,DEBIT,EXPENSE
2025-06-04,Fuel Purchase at Flipkart,2803,DEBIT,EXPENSE
2025-06-06,Closure Proceeds from LIC Policy,31667,DEBIT,SAVINGS
2025-06-24,FD Creation at PNB,27515,DEBIT,SAVINGS
2025-06-16,Gift received from Family,9563,CREDIT,INCOME
2025-06-28,POS/AMAZON IN/Online Shopping,15677,DEBIT,EXPENSE
2025-06-24,Grocery Shopping at Myntra,18629,DEBIT,EXPENSE
2025-06-13,Sweep-in to Savings,29729,DEBIT,SAVINGS
2025-06-12,Goal Based Savings Transfer,27529,DEBIT,SAVINGS
2025-06-17,Dining Out at Big Bazaar,11928,DEBIT,EXPENSE
2025-06-28,Mutual Fund Investment - Axis Bluechip,40159,DEBIT,SAVINGS
2025-06-20,Dividend from Mutual Fund,65030,CREDIT,INCOME
2025-06-26,Dividend from Mutual Fund,63628,CREDIT,INCOME
2025-06-16,Maturity Proceeds from LIC Policy,33684,DEBIT,SAVINGS
2025-06-13,Transfer to NPS Account,23746,DEBIT,SAVINGS
2025-06-02,Maturity Proceeds from RD,36938,DEBIT,SAVINGS
2025-06-06,FD Creation at SBI,32932,DEBIT,SAVINGS
2025-06-12,Credit Card Bill Payment,10962,DEBIT,EXPENSE
2025-06-28,Refund from Amazon,52597,CREDIT,INCOME
2025-06-23,Sweep-in to Savings,16500,DEBIT,SAVINGS
2025-06-25,Recurring Deposit started at SBI,46559,DEBIT,SAVINGS
2025-06-04,FD Creation at ICICI Bank,26728,DEBIT,SAVINGS
2025-06-12,Closure Proceeds from NPS,41022,DEBIT,SAVINGS
2025-06-14,Interest from Savings Account,39908,CREDIT,INCOME
2025-06-19,Transfer to Recurring Deposit,44769,DEBIT,SAVINGS
2025-06-19,NPS Contribution,41783,DEBIT,SAVINGS
2025-06-14,Investment in Axis Bluechip,29559,DEBIT,SAVINGS
2025-06-24,Credit Card Bill Payment,11804,DEBIT,EXPENSE
2025-06-17,Refund from Amazon,19086,CREDIT,INCOME
2025-06-19,Auto Sweep to FD,19136,DEBIT,SAVINGS
2025-06-03,Subscription Renewal - Netflix,13229,DEBIT,EXPENSE
2025-06-09,Dining Out at Flipkart,12862,DEBIT,EXPENSE
2025-06-24,Consulting payment from TCS,99015,CREDIT,INCOME
2025-06-22,Grocery Shopping at Cafe Coffee Day,5793,DEBIT,EXPENSE
2025-06-16,Consulting payment from ABC Corp,34393,CREDIT,INCOME
2025-06-18,RD Installment at Axis Bank,6774,DEBIT,SAVINGS
2025-06-15,Transfer to PPF Account,6710,DEBIT,SAVINGS
2025-06-23,Goal Based Savings Transfer,23377,DEBIT,SAVINGS
2025-06-19,Investment in SBI Magnum,40312,DEBIT,SAVINGS
2025-06-15,Fixed Deposit opened at SBI,4089,DEBIT,SAVINGS
2025-06-03,LIC Premium Payment,16860,DEBIT,SAVINGS
2025-06-19,Award for best employee,37512,CREDIT,INCOME
2025-06-25,Salary credited from INFOSYS LTD,22157,CREDIT,INCOME
2025-06-04,Interest from Savings Account,35385,CREDIT,INCOME
2025-06-16,Transfer to Education Fund,35650,DEBIT,SAVINGS
2025-06-01,POS/AMAZON IN/Online Shopping,4738,DEBIT,EXPENSE
2025-06-03,Auto Sweep to FD,36589,DEBIT,SAVINGS
2025-06-07,Fixed Deposit opened at ICICI Bank,5743,DEBIT,SAVINGS
2025-06-02,PPF Deposit,39312,DEBIT,SAVINGS
2025-06-22,Investment in ICICI Prudential,40872,DEBIT,SAVINGS
2025-06-14,Sweep-in to Savings,22826,DEBIT,SAVINGS
2025-06-12,Consulting payment from ABC Corp,50295,CREDIT,INCOME
2025-06-16,Gift received from Family,86345,CREDIT,INCOME
2025-06-04,RD Installment at HDFC Bank,46688,DEBIT,SAVINGS
2025-06-10,Maturity Proceeds from RD,5426,DEBIT,SAVINGS
2025-06-10,Mutual Fund Investment - SBI Magnum,46224,DEBIT,SAVINGS
2025-06-12,Investment in HDFC Top 100,3573,DEBIT,SAVINGS
2025-06-11,SIP to SBI Magnum,37941,DEBIT,SAVINGS
2025-06-09,Mutual Fund Investment - ICICI Prudential,2451,DEBIT,SAVINGS
2025-06-28,Dividend from Mutual Fund,7226,CREDIT,INCOME
2025-06-02,RD Installment at PNB,20567,DEBIT,SAVINGS
2025-06-28,Grocery Shopping at Amazon,10485,DEBIT,EXPENSE
2025-06-24,Dining Out at Indian Oil,14712,DEBIT,EXPENSE
2025-06-05,Consulting payment from XYZ Pvt Ltd,88009,CREDIT,INCOME
2025-06-28,Maturity Proceeds from FD,21523,DEBIT,SAVINGS
2025-06-05,Sweep-in to Savings,12406,DEBIT,SAVINGS
2025-06-11,NPS Contribution,24553,DEBIT,SAVINGS
2025-06-21,Award for best employee,53501,CREDIT,INCOME
2025-06-25,Investment in UTI Flexi Cap,49469,DEBIT,SAVINGS
2025-06-19,LIC Premium Payment,5855,DEBIT,SAVINGS
2025-06-28,ATM Cash Withdrawal,4272,DEBIT,EXPENSE
2025-06-14,Transfer to Education Fund,25044,DEBIT,SAVINGS
2025-06-02,PPF Deposit,42693,DEBIT,SAVINGS
2025-06-09,Recurring Deposit started at Axis Bank,10741,DEBIT,SAVINGS
2025-06-08,Grocery Shopping at Apollo Pharmacy,3229,DEBIT,EXPENSE
2025-06-23,Dividend from Mutual Fund,99196,CREDIT,INCOME
2025-06-24,FD Creation at SBI,22099,DEBIT,SAVINGS
2025-06-19,RD Installment at SBI,19733,DEBIT,SAVINGS
2025-06-17,Fixed Deposit opened at SBI,14125,DEBIT,SAVINGS
2025-06-07,Consulting payment from XYZ Pvt Ltd,14911,CREDIT,INCOME
2025-06-27,LIC Premium Payment,37687,DEBIT,SAVINGS
2025-06-24,Salary credited from ABC Corp,36200,CREDIT,INCOME
2025-06-23,Goal Based Savings Transfer,45564,DEBIT,SAVINGS
2025-06-16,Transfer to Education Fund,13805,DEBIT,SAVINGS
2025-06-22,Salary credited from TCS,1903,CREDIT,INCOME
2025-06-14,Gift received from Family,50046,CREDIT,INCOME
2025-06-02,Closure Proceeds from FD,31197,DEBIT,SAVINGS
2025-06-17,Gift received from Family,29625,CREDIT,INCOME
2025-06-23,Transfer to Education Fund,34974,DEBIT,SAVINGS
2025-06-22,FD Creation at HDFC Bank,2928,DEBIT,SAVINGS
2025-06-19,Transfer to NPS Account,27343,DEBIT,SAVINGS
2025-06-25,Transfer to PPF Account,12804,DEBIT,SAVINGS
2025-06-08,Sweep-in to Savings,19778,DEBIT,SAVINGS
2025-06-25,Electricity Bill Payment,19250,DEBIT,EXPENSE
2025-06-24,Salary credited from XYZ Pvt Ltd,79564,CREDIT,INCOME
2025-06-24,Maturity Proceeds from FD,37677,DEBIT,SAVINGS
2025-06-04,Auto Sweep to FD,10503,DEBIT,SAVINGS
2025-06-28,Interest from Savings Account,2544,CREDIT,INCOME
2025-06-12,Sweep-in to Savings,10675,DEBIT,SAVINGS
2025-06-15,Sweep-in to Savings,30416,DEBIT,SAVINGS
2025-06-20,Dividend from Mutual Fund,71170,CREDIT,INCOME
2025-06-10,ATM Cash Withdrawal,16369,DEBIT,EXPENSE
2025-06-16,Mutual Fund Investment - UTI Flexi Cap,10870,DEBIT,SAVINGS
2025-06-11,Subscription Renewal - Netflix,9098,DEBIT,EXPENSE
2025-06-03,ATM Cash Withdrawal,10925,DEBIT,EXPENSE
2025-06-09,Fuel Purchase at Myntra,13412,DEBIT,EXPENSE
2025-06-17,Transfer to Recurring Deposit,40657,DEBIT,SAVINGS
2025-06-03,Electricity Bill Payment,7552,DEBIT,EXPENSE
2025-06-14,Refund from Amazon,49882,CREDIT,INCOME
2025-06-26,RD Installment at PNB,42679,DEBIT,SAVINGS
2025-06-19,LIC Premium Payment,29736,DEBIT,SAVINGS
2025-06-11,Transfer to Education Fund,5213,DEBIT,SAVINGS
2025-06-06,Refund from Amazon,16068,CREDIT,INCOME
2025-06-26,PPF Deposit,37810,DEBIT,SAVINGS
2025-06-11,Consulting payment from INFOSYS LTD,79625,CREDIT,INCOME
2025-06-24,POS/AMAZON IN/Online Shopping,6649,DEBIT,EXPENSE
2025-06-24,NPS Contribution,39446,DEBIT,SAVINGS
2025-06-21,Transfer to Recurring Deposit,15436,DEBIT,SAVINGS
2025-06-03,Maturity Proceeds from NPS,19985,DEBIT,SAVINGS
2025-06-18,Goal Based Savings Transfer,5638,DEBIT,SAVINGS
2025-06-08,ATM Cash Withdrawal,9864,DEBIT,EXPENSE
2025-06-09,ATM Cash Withdrawal,15310,DEBIT,EXPENSE
2025-06-22,PPF Deposit,17368,DEBIT,SAVINGS
2025-06-08,Transfer to NPS Account,15239,DEBIT,SAVINGS
2025-06-12,Investment in ICICI Prudential,47520,DEBIT,SAVINGS
2025-06-15,Transfer to Recurring Deposit,3394,DEBIT,SAVINGS
2025-06-09,Gift received from Family,38718,CREDIT,INCOME
2025-06-05,ATM Cash Withdrawal,11303,DEBIT,EXPENSE
2025-06-04,Consulting payment from ABC Corp,42498,CREDIT,INCOME
2025-06-02,NPS Contribution,43985,DEBIT,SAVINGS
2025-06-04,Transfer to Recurring Deposit,23854,DEBIT,SAVINGS
2025-06-14,Gift received from Family,88038,CREDIT,INCOME
2025-06-26,Electricity Bill Payment,16443,DEBIT,EXPENSE
2025-06-03,Sweep-in to Savings,37982,DEBIT,SAVINGS
2025-06-02,Recurring Deposit started at Axis Bank,24653,DEBIT,SAVINGS
2025-06-27,PPF Deposit,29531,DEBIT,SAVINGS
2025-06-07,Investment in UTI Flexi Cap,16406,DEBIT,SAVINGS
2025-06-26,RD Installment at ICICI Bank,35901,DEBIT,SAVINGS
2025-06-23,Refund from Amazon,36983,CREDIT,INCOME
2025-06-20,Consulting payment from INFOSYS LTD,38627,CREDIT,INCOME
2025-06-12,Investment in Axis Bluechip,44093,DEBIT,SAVINGS
2025-06-26,Closure Proceeds from RD,49750,DEBIT,SAVINGS
2025-06-09,Interest from Savings Account,73798,CREDIT,INCOME
2025-06-10,Credit Card Bill Payment,11225,DEBIT,EXPENSE
2025-06-08,PPF Deposit,17931,DEBIT,SAVINGS
2025-06-22,RD Installment at PNB,3144,DEBIT,SAVINGS
2025-06-06,Goal Based Savings Transfer,29913,DEBIT,SAVINGS
2025-06-14,ATM Cash Withdrawal,2564,DEBIT,EXPENSE
2025-06-21,Recurring Deposit started at PNB,48313,DEBIT,SAVINGS
2025-06-14,Interest from Savings Account,57466,CREDIT,INCOME
2025-06-20,Electricity Bill Payment,16275,DEBIT,EXPENSE
2025-06-22,Gift received from Family,87260,CREDIT,INCOME
2025-06-24,Interest from Savings Account,81153,CREDIT,INCOME
2025-06-24,Consulting payment from ABC Corp,93564,CREDIT,INCOME
2025-06-16,Refund from Amazon,23717,CREDIT,INCOME
2025-06-15,Sweep-in to Savings,21862,DEBIT,SAVINGS
2025-06-02,Goal Based Savings Transfer,13016,DEBIT,SAVINGS
2025-06-02,RD Installment at HDFC Bank,38032,DEBIT,SAVINGS
2025-06-16,Grocery Shopping at Flipkart,4109,DEBIT,EXPENSE
2025-06-26,Interest from Savings Account,12108,CREDIT,INCOME
2025-06-28,Transfer to Child Plan,21033,DEBIT,SAVINGS
2025-06-11,Electricity Bill Payment,14047,DEBIT,EXPENSE
2025-06-18,Investment in SBI Magnum,26549,DEBIT,SAVINGS
2025-06-17,Electricity Bill Payment,10638,DEBIT,EXPENSE
2025-06-25,Grocery Shopping at Flipkart,8256,DEBIT,EXPENSE
2025-06-18,Closure Proceeds from PPF,19020,DEBIT,SAVINGS
2025-06-06,Gift received from Family,36890,CREDIT,INCOME
2025-06-10,Auto Sweep to FD,5270,DEBIT,SAVINGS
2025-06-13,Refund from Amazon,61144,CREDIT,INCOME
2025-06-26,LIC Premium Payment,38137,DEBIT,SAVINGS
2025-06-06,Maturity Proceeds from LIC Policy,38310,DEBIT,SAVINGS
2025-06-06,Subscription Renewal - Netflix,14531,DEBIT,EXPENSE
2025-06-28,FD Creation at Axis Bank,41779,DEBIT,SAVINGS
2025-06-13,Subscription Renewal - Netflix,18268,DEBIT,EXPENSE
2025-06-25,Transfer to PPF Account,15578,DEBIT,SAVINGS
2025-06-04,UPI payment to Amazon,16024,DEBIT,EXPENSE
2025-06-01,Gift received from Family,61444,CREDIT,INCOME
2025-06-21,Investment in UTI Flexi Cap,33170,DEBIT,SAVINGS
2025-06-11,Goal Based Savings Transfer,12774,DEBIT,SAVINGS
2025-06-09,POS/AMAZON IN/Online Shopping,2612,DEBIT,EXPENSE
2025-06-11,Transfer to PPF Account,23016,DEBIT,SAVINGS
2025-06-02,Gift received from Family,78758,CREDIT,INCOME
2025-06-16,Fixed Deposit opened at PNB,8220,DEBIT,SAVINGS
2025-06-26,Closure Proceeds from PPF,22115,DEBIT,SAVINGS
2025-06-25,Transfer to PPF Account,37924,DEBIT,SAVINGS
2025-06-08,Interest from Savings Account,63056,CREDIT,INCOME
2025-06-07,Medical Consultation at Indian Oil,13052,DEBIT,EXPENSE
2025-06-22,Award for best employee,20129,CREDIT,INCOME
2025-06-07,Transfer to NPS Account,43557,DEBIT,SAVINGS
2025-06-11,Credit Card Bill Payment,14313,DEBIT,EXPENSE
2025-06-06,Consulting payment from INFOSYS LTD,30588,CREDIT,INCOME
2025-06-27,Fixed Deposit opened at Axis Bank,23891,DEBIT,SAVINGS
2025-06-13,Salary credited from INFOSYS LTD,18860,CREDIT,INCOME
2025-06-01,NPS Contribution,24315,DEBIT,SAVINGS
2025-06-23,Maturity Proceeds from RD,49802,DEBIT,SAVINGS
2025-06-13,Transfer to Recurring Deposit,35670,DEBIT,SAVINGS
2025-06-16,Sweep-in to Savings,19319,DEBIT,SAVINGS
2025-06-15,FD Creation at ICICI Bank,18885,DEBIT,SAVINGS
2025-06-17,Consulting payment from ABC Corp,46804,CREDIT,INCOME
2025-06-23,Recurring Deposit started at HDFC Bank,4148,DEBIT,SAVINGS
2025-06-08,Transfer to Education Fund,22979,DEBIT,SAVINGS
2025-06-08,ATM Cash Withdrawal,1637,DEBIT,EXPENSE
2025-06-16,NPS Contribution,33874,DEBIT,SAVINGS
2025-06-14,Interest from Savings Account,38273,CREDIT,INCOME
2025-06-27,PPF Deposit,4968,DEBIT,SAVINGS
2025-06-03,Mutual Fund Investment - SBI Magnum,17086,DEBIT,SAVINGS
2025-06-25,Transfer to Child Plan,37107,DEBIT,SAVINGS
2025-06-22,Goal Based Savings Transfer,37218,DEBIT,SAVINGS
2025-06-14,Grocery Shopping at Flipkart,1786,DEBIT,EXPENSE
2025-06-11,Transfer to Fixed Deposit,17455,DEBIT,SAVINGS
2025-06-05,Transfer to Recurring Deposit,18051,DEBIT,SAVINGS
2025-06-17,Goal Based Savings Transfer,46491,DEBIT,SAVINGS
2025-06-03,Sweep-in to Savings,45915,DEBIT,SAVINGS
2025-06-28,Fuel Purchase at Big Bazaar,11087,DEBIT,EXPENSE
2025-06-15,Credit Card Bill Payment,5707,DEBIT,EXPENSE
2025-06-19,Refund from Amazon,90044,CREDIT,INCOME
2025-06-27,Electricity Bill Payment,9429,DEBIT,EXPENSE
2025-06-06,Dividend from Mutual Fund,59044,CREDIT,INCOME
2025-06-17,Transfer to Education Fund,8610,DEBIT,SAVINGS
2025-06-08,Interest from Savings Account,7454,CREDIT,INCOME
2025-06-21,Fuel Purchase at Big Bazaar,11320,DEBIT,EXPENSE
2025-06-09,Medical Consultation at Myntra,3620,DEBIT,EXPENSE
2025-06-25,Transfer to Education Fund,46179,DEBIT,SAVINGS
